Mes;Anho;Precipitacion;Ubicacion
Enero;1990;107;Mcal. Estigarribia
Enero;1991;48.8;Mcal. Estigarribia
Enero;1992;347.5;Mcal. Estigarribia
Enero;1993;62;Mcal. Estigarribia
Enero;1994;67.4;Mcal. Estigarribia
Enero;1995;65;Mcal. Estigarribia
Enero;1996;158.2;Mcal. Estigarribia
Enero;1997;253.1;Mcal. Estigarribia
Enero;1998;181;Mcal. Estigarribia
Enero;1999;65.3;Mcal. Estigarribia
Enero;2000;89;Mcal. Estigarribia
Enero;2001;45.7;Mcal. Estigarribia
Enero;2002;35.4;Mcal. Estigarribia
Enero;2003;84.8;Mcal. Estigarribia
Enero;2004;28.6;Mcal. Estigarribia
Enero;2005;144.5;Mcal. Estigarribia
Enero;2006;160.1;Mcal. Estigarribia
Enero;2007;62.7;Mcal. Estigarribia
Enero;2008;157.9;Mcal. Estigarribia
Enero;2009;25.3;Mcal. Estigarribia
Enero;2010;94;Mcal. Estigarribia
Enero;2011;119.8;Mcal. Estigarribia
Enero;2012;491.6;Mcal. Estigarribia
Enero;2013;55.6;Mcal. Estigarribia
Enero;2014;186.8;Mcal. Estigarribia
Enero;2015;68.5;Mcal. Estigarribia
Enero;2016;111;Mcal. Estigarribia
Enero;2017;116.7;Mcal. Estigarribia
Enero;2018;122;Mcal. Estigarribia
Enero;2019;40.1;Mcal. Estigarribia
Enero;2020;88.4;Mcal. Estigarribia
Enero;2021;116.1;Mcal. Estigarribia
Enero;2022;57.8;Mcal. Estigarribia
Enero;2023;108.1;Mcal. Estigarribia
Febrero;1990;97.4;Mcal. Estigarribia
Febrero;1991;128.3;Mcal. Estigarribia
Febrero;1992;69.7;Mcal. Estigarribia
Febrero;1993;110.4;Mcal. Estigarribia
Febrero;1994;89.2;Mcal. Estigarribia
Febrero;1995;77.8;Mcal. Estigarribia
Febrero;1996;126;Mcal. Estigarribia
Febrero;1997;228.3;Mcal. Estigarribia
Febrero;1998;70.5;Mcal. Estigarribia
Febrero;1999;35.1;Mcal. Estigarribia
Febrero;2000;27.7;Mcal. Estigarribia
Febrero;2001;259.5;Mcal. Estigarribia
Febrero;2002;227.4;Mcal. Estigarribia
Febrero;2003;52.1;Mcal. Estigarribia
Febrero;2004;52;Mcal. Estigarribia
Febrero;2005;130.9;Mcal. Estigarribia
Febrero;2006;173.4;Mcal. Estigarribia
Febrero;2007;90.3;Mcal. Estigarribia
Febrero;2008;236.4;Mcal. Estigarribia
Febrero;2009;42.4;Mcal. Estigarribia
Febrero;2010;126.9;Mcal. Estigarribia
Febrero;2011;187.2;Mcal. Estigarribia
Febrero;2012;167.1;Mcal. Estigarribia
Febrero;2013;40.1;Mcal. Estigarribia
Febrero;2014;140.8;Mcal. Estigarribia
Febrero;2015;171.2;Mcal. Estigarribia
Febrero;2016;71.3;Mcal. Estigarribia
Febrero;2017;140;Mcal. Estigarribia
Febrero;2018;114.9;Mcal. Estigarribia
Febrero;2019;63;Mcal. Estigarribia
Febrero;2020;125.6;Mcal. Estigarribia
Febrero;2021;56.4;Mcal. Estigarribia
Febrero;2022;42.5;Mcal. Estigarribia
Febrero;2023;137.7;Mcal. Estigarribia
Marzo;1990;123;Mcal. Estigarribia
Marzo;1991;218.1;Mcal. Estigarribia
Marzo;1992;100.5;Mcal. Estigarribia
Marzo;1993;68.2;Mcal. Estigarribia
Marzo;1994;35.8;Mcal. Estigarribia
Marzo;1995;171;Mcal. Estigarribia
Marzo;1996;64.5;Mcal. Estigarribia
Marzo;1997;23.9;Mcal. Estigarribia
Marzo;1998;344.3;Mcal. Estigarribia
Marzo;1999;333.1;Mcal. Estigarribia
Marzo;2000;137.9;Mcal. Estigarribia
Marzo;2001;88.9;Mcal. Estigarribia
Marzo;2002;50.8;Mcal. Estigarribia
Marzo;2003;125.8;Mcal. Estigarribia
Marzo;2004;119.7;Mcal. Estigarribia
Marzo;2005;75.8;Mcal. Estigarribia
Marzo;2006;129.7;Mcal. Estigarribia
Marzo;2007;40;Mcal. Estigarribia
Marzo;2008;69.5;Mcal. Estigarribia
Marzo;2009;36.4;Mcal. Estigarribia
Marzo;2010;115.1;Mcal. Estigarribia
Marzo;2011;36.2;Mcal. Estigarribia
Marzo;2012;44.1;Mcal. Estigarribia
Marzo;2013;20;Mcal. Estigarribia
Marzo;2014;202.5;Mcal. Estigarribia
Marzo;2015;9.5;Mcal. Estigarribia
Marzo;2016;159.1;Mcal. Estigarribia
Marzo;2017;67.9;Mcal. Estigarribia
Marzo;2018;100.8;Mcal. Estigarribia
Marzo;2019;175.5;Mcal. Estigarribia
Marzo;2020;51.6;Mcal. Estigarribia
Marzo;2021;37.1;Mcal. Estigarribia
Marzo;2022;66.6;Mcal. Estigarribia
Marzo;2023;76;Mcal. Estigarribia
Abril;1990;19.4;Mcal. Estigarribia
Abril;1991;102.8;Mcal. Estigarribia
Abril;1992;64.1;Mcal. Estigarribia
Abril;1993;42.4;Mcal. Estigarribia
Abril;1994;23.7;Mcal. Estigarribia
Abril;1995;3;Mcal. Estigarribia
Abril;1996;219;Mcal. Estigarribia
Abril;1997;15.7;Mcal. Estigarribia
Abril;1998;103;Mcal. Estigarribia
Abril;1999;66.4;Mcal. Estigarribia
Abril;2000;111.8;Mcal. Estigarribia
Abril;2001;79.7;Mcal. Estigarribia
Abril;2002;70.7;Mcal. Estigarribia
Abril;2003;52.2;Mcal. Estigarribia
Abril;2004;26.5;Mcal. Estigarribia
Abril;2005;61.2;Mcal. Estigarribia
Abril;2006;36.7;Mcal. Estigarribia
Abril;2007;65.7;Mcal. Estigarribia
Abril;2008;50.9;Mcal. Estigarribia
Abril;2009;21.2;Mcal. Estigarribia
Abril;2010;11;Mcal. Estigarribia
Abril;2011;74.1;Mcal. Estigarribia
Abril;2012;118.4;Mcal. Estigarribia
Abril;2013;97.2;Mcal. Estigarribia
Abril;2014;88.2;Mcal. Estigarribia
Abril;2015;187.4;Mcal. Estigarribia
Abril;2016;38;Mcal. Estigarribia
Abril;2017;60.6;Mcal. Estigarribia
Abril;2018;51;Mcal. Estigarribia
Abril;2019;81.2;Mcal. Estigarribia
Abril;2020;83.6;Mcal. Estigarribia
Abril;2021;135.8;Mcal. Estigarribia
Abril;2022;5.8;Mcal. Estigarribia
Abril;2023;58.5;Mcal. Estigarribia
Mayo ;1990;130.5;Mcal. Estigarribia
Mayo ;1991;11.2;Mcal. Estigarribia
Mayo ;1992;50.1;Mcal. Estigarribia
Mayo ;1993;10.4;Mcal. Estigarribia
Mayo ;1994;7.2;Mcal. Estigarribia
Mayo ;1995;107;Mcal. Estigarribia
